name                  filter                                      config                                                                                       tasks      cores    clockspeed    sim. time (ns)    avg resp time (ns)    peak power / thread (W)    avg power (W)    energy (J)    peak temperature (C)
parsec-swaptions      4.0GHz+maxFreq+slowDVFS                     parsec-swaptions-simsmall-1                                                                  parsec         2             4         142390100             142390173                   1.9058           13.1796       1.87664                 168.075
parsec-swaptions      4.0GHz+maxFreq+slowDVFS                     parsec-swaptions-simsmall-2                                                                  parsec         3             4          70838900              70838952                   1.93165          21.0997       1.49468                 168.788
parsec-swaptions      4.0GHz+maxFreq+slowDVFS                     parsec-swaptions-simsmall-3                                                                  parsec         4             4          53815200              53815265                   1.90672          26.0885       1.40396                 167.432
parsec-x264           4.0GHz+maxFreq+slowDVFS                     parsec-x264-simsmall-1                                                                       parsec         1             4         117444000             117444049                   1.95327          12.1855       1.43111                 161.331
parsec-x264           4.0GHz+maxFreq+slowDVFS                     parsec-x264-simsmall-2                                                                       parsec         3             4          69072000              69072056                   1.94152          16.0413       1.10801                 157.372
parsec-x264           4.0GHz+maxFreq+slowDVFS                     parsec-x264-simsmall-3                                                                       parsec         4             4          59948000              59948057                   1.96278          17.8136       1.06789                 156.531
parsec-blackscholes   4.0GHz+ondemand+fastDVFS                    parsec-blackscholes-simsmall-1                                                               parsec         2             4         117026400             117026475                   2.27288           4.17861      0.489008                 79.1333
parsec-blackscholes   4.0GHz+ondemand+fastDVFS                    parsec-blackscholes-simsmall-2                                                               parsec         3             4          66204600              66204685                   2.27618           5.96391      0.394838                 79.5723
parsec-blackscholes   4.0GHz+ondemand+fastDVFS                    parsec-blackscholes-simsmall-3                                                               parsec         4             4          50828300              50828394                   2.21211           7.23301      0.367641                 79.1487
parsec-bodytrack      4.0GHz+ondemand+fastDVFS                    parsec-bodytrack-simsmall-1                                                                  parsec         3             4         416793100             416793102                   2.38037           3.90371      1.62704                  76.9368
parsec-bodytrack      4.0GHz+ondemand+fastDVFS                    parsec-bodytrack-simsmall-2                                                                  parsec         4             4         229321200             229321269                   2.41132           5.59265      1.28251                  76.2665
parsec-blackscholes   4.0GHz+ondemand+slowDVFS                    parsec-blackscholes-simsmall-1                                                               parsec         2             4         106938800             106938830                   1.29483           4.15719      0.444565                 78.6574
parsec-blackscholes   4.0GHz+ondemand+slowDVFS                    parsec-blackscholes-simsmall-2                                                               parsec         3             4          60567800              60567890                   1.6669            5.98161      0.362293                 79.8142
parsec-blackscholes   4.0GHz+ondemand+slowDVFS                    parsec-blackscholes-simsmall-3                                                               parsec         4             4          47364900              47364912                   1.29367           7.01746      0.332381                 77.7385
